model,feature,n_folds,mean,median,min,max,std
Random Forest,original_glszm_LowGrayLevelZoneEmphasis,49,0.2724365630355054,0.34283759128159796,0.04024833905359726,0.3978745147031233,0.1163678782948181
Random Forest,original_glszm_SmallAreaLowGrayLevelEmphasis,49,0.2247459883168682,0.2521460971889187,0.08581029361413817,0.3474338823931235,0.06639523699379249
Random Forest,original_shape_Maximum2DDiameterSlice,11,0.21199179553837152,0.2113678047516282,0.18576136361374407,0.23235308469166793,0.012424713353648484
Random Forest,original_glcm_MCC,48,0.18747111060428143,0.1807317209407282,0.11152611124781114,0.3054462283277896,0.04291732072938519
Random Forest,original_glszm_HighGrayLevelZoneEmphasis,45,0.17869809834703887,0.19536290526594566,0.059375340719432027,0.2749229498865152,0.04669781209710174
Random Forest,original_shape_Flatness,1,0.16471318370055657,0.16471318370055657,0.16471318370055657,0.16471318370055657,0.0
Random Forest,original_glcm_Imc1,16,0.1264418628704525,0.11425430406213011,0.07991270905593745,0.229867854516993,0.0447092318638924
Random Forest,original_shape_Elongation,4,0.11564206224282543,0.1184819463347564,0.05490026569766731,0.1707040906041216,0.049514949300567004
Random Forest,original_shape_Maximum2DDiameterRow,2,0.09926454440767397,0.09926454440767397,0.07907846691157833,0.11945062190376962,0.028547424566092792
Random Forest,original_ngtdm_Complexity,1,0.09562281602631012,0.09562281602631012,0.09562281602631012,0.09562281602631012,0.0
Random Forest,original_gldm_DependenceNonUniformityNormalized,1,0.06741023822251707,0.06741023822251707,0.06741023822251707,0.06741023822251707,0.0
Random Forest,original_glszm_SmallAreaHighGrayLevelEmphasis,15,0.06447738226511238,0.0670479178581612,0.026845345822247485,0.09988680507032151,0.023062468352346526
Random Forest,original_firstorder_Energy,7,0.06432327951770726,0.06038722745381286,0.04350204988932456,0.09165968674671782,0.014813370250350124
Random Forest,original_gldm_SmallDependenceEmphasis,1,0.04194529264296996,0.04194529264296996,0.04194529264296996,0.04194529264296996,0.0
Random Forest,original_firstorder_Kurtosis,1,0.038631323059564335,0.038631323059564335,0.038631323059564335,0.038631323059564335,0.0
Random Forest,original_glrlm_LongRunHighGrayLevelEmphasis,2,0.036939084461853275,0.036939084461853275,0.011897765927053858,0.06198040299665269,0.035413772291618094
Random Forest,original_gldm_SmallDependenceLowGrayLevelEmphasis,10,0.030966242387098736,0.033627444195727565,0.018418853981817668,0.04107387985190522,0.007554280761660351
Random Forest,original_gldm_SmallDependenceHighGrayLevelEmphasis,1,0.03091538674672235,0.03091538674672235,0.03091538674672235,0.03091538674672235,0.0
Random Forest,original_glrlm_RunEntropy,1,0.029753454691729027,0.029753454691729027,0.029753454691729027,0.029753454691729027,0.0
Random Forest,original_firstorder_Minimum,5,0.026915045381921677,0.025653957112328537,0.018645151641144102,0.04113006603404418,0.008481694835151996
Random Forest,original_gldm_LowGrayLevelEmphasis,10,0.01774191490801514,0.01749999868167852,0.009825202048559538,0.03527668948457343,0.006907946600074122
XGBoost,original_shape_Flatness,1,17.203205108642578,17.203205108642578,17.203205108642578,17.203205108642578,0.0
XGBoost,original_glszm_LowGrayLevelZoneEmphasis,49,10.37849287110932,12.164794921875,3.6905651092529297,15.506840705871582,3.88249446750107
XGBoost,original_shape_Maximum2DDiameterSlice,11,9.771608526056463,9.465171813964844,8.233658790588379,13.078713417053223,1.3732400214166056
XGBoost,original_shape_Elongation,4,9.074279427528381,9.699019432067871,5.982055187225342,10.917023658752441,2.295432202138241
XGBoost,original_glszm_SmallAreaLowGrayLevelEmphasis,49,8.20334801381948,8.127218246459961,4.540470123291016,11.973289489746094,1.196373954934949
XGBoost,original_glcm_Imc1,16,7.437128886580467,6.078641176223755,3.577173948287964,23.338415145874023,4.898257638581033
XGBoost,original_shape_Maximum2DDiameterRow,2,6.987602233886719,6.987602233886719,6.076210975646973,7.898993492126465,1.2889018780309287
XGBoost,original_glszm_HighGrayLevelZoneEmphasis,45,6.8396990882025825,4.012022018432617,2.788935661315918,24.08234214782715,5.880877156505403
XGBoost,original_glcm_MCC,48,6.725291450818379,5.297859191894531,4.349107265472412,16.23780059814453,2.7999662427676144
XGBoost,original_gldm_SmallDependenceHighGrayLevelEmphasis,1,6.042932987213135,6.042932987213135,6.042932987213135,6.042932987213135,0.0
XGBoost,original_firstorder_Energy,7,5.936211211340768,6.267490386962891,3.8989384174346924,7.462702751159668,1.3635782681508852
XGBoost,original_firstorder_Kurtosis,1,5.429205417633057,5.429205417633057,5.429205417633057,5.429205417633057,0.0
XGBoost,original_ngtdm_Complexity,1,5.406859874725342,5.406859874725342,5.406859874725342,5.406859874725342,0.0
XGBoost,original_gldm_SmallDependenceEmphasis,1,4.90580415725708,4.90580415725708,4.90580415725708,4.90580415725708,0.0
XGBoost,original_firstorder_Minimum,5,4.359944629669189,4.821573734283447,2.671651840209961,5.520178318023682,1.230377402179425
XGBoost,original_gldm_SmallDependenceLowGrayLevelEmphasis,10,4.336421918869019,3.7020132541656494,2.855557441711426,7.250075340270996,1.4167151915876137
XGBoost,original_glrlm_LongRunHighGrayLevelEmphasis,2,3.8097296953201294,3.8097296953201294,2.9605696201324463,4.6588897705078125,1.2008936949561786
XGBoost,original_glszm_SmallAreaHighGrayLevelEmphasis,15,3.7614343961079917,3.5829169750213623,2.6977972984313965,5.643237113952637,0.8396172728865812
XGBoost,original_gldm_DependenceNonUniformityNormalized,1,3.667078733444214,3.667078733444214,3.667078733444214,3.667078733444214,0.0
XGBoost,original_glrlm_RunEntropy,1,2.4188389778137207,2.4188389778137207,2.4188389778137207,2.4188389778137207,0.0
XGBoost,original_gldm_LowGrayLevelEmphasis,10,1.8082783207297326,2.0998234152793884,0.14120547473430634,3.0036087036132812,0.9657628810299388
