feature,n_folds_selected,selection_freq
original_glszm_LowGrayLevelZoneEmphasis,49,1.0
original_glszm_SmallAreaLowGrayLevelEmphasis,49,1.0
original_glcm_MCC,48,0.98
original_glszm_HighGrayLevelZoneEmphasis,45,0.918
original_glcm_Imc1,16,0.327
original_glszm_SmallAreaHighGrayLevelEmphasis,15,0.306
original_shape_Maximum2DDiameterSlice,11,0.224
original_gldm_LowGrayLevelEmphasis,10,0.204
original_gldm_SmallDependenceLowGrayLevelEmphasis,10,0.204
original_firstorder_Energy,7,0.143
original_firstorder_Minimum,5,0.102
original_shape_Elongation,4,0.082
original_glrlm_LongRunHighGrayLevelEmphasis,2,0.041
original_shape_Maximum2DDiameterRow,2,0.041
original_glrlm_RunEntropy,1,0.02
original_shape_Flatness,1,0.02
original_firstorder_Kurtosis,1,0.02
original_ngtdm_Complexity,1,0.02
original_gldm_SmallDependenceHighGrayLevelEmphasis,1,0.02
original_gldm_DependenceNonUniformityNormalized,1,0.02
original_gldm_SmallDependenceEmphasis,1,0.02
