model,fold_idx,test_pid,feature,importance,importance_type
Random Forest,0,650425,original_glszm_LowGrayLevelZoneEmphasis,0.1016910719861327,impurity
Random Forest,0,650425,original_glszm_SmallAreaLowGrayLevelEmphasis,0.13817808524104883,impurity
Random Forest,0,650425,original_glcm_MCC,0.15542497719957135,impurity
Random Forest,0,650425,original_glszm_HighGrayLevelZoneEmphasis,0.13000304024495962,impurity
Random Forest,0,650425,original_glcm_Imc1,0.08639061575914543,impurity
Random Forest,0,650425,original_glszm_SmallAreaHighGrayLevelEmphasis,0.07654674832559798,impurity
Random Forest,0,650425,original_firstorder_Minimum,0.025653957112328537,impurity
Random Forest,0,650425,original_shape_Maximum2DDiameterSlice,0.23235308469166793,impurity
Random Forest,0,650425,original_gldm_LowGrayLevelEmphasis,0.015160828659995516,impurity
Random Forest,0,650425,original_gldm_SmallDependenceLowGrayLevelEmphasis,0.0385975907795522,impurity
XGBoost,0,650425,original_glszm_LowGrayLevelZoneEmphasis,4.109390735626221,gain
XGBoost,0,650425,original_glszm_SmallAreaLowGrayLevelEmphasis,9.074291229248047,gain
XGBoost,0,650425,original_glcm_MCC,8.891046524047852,gain
XGBoost,0,650425,original_glszm_HighGrayLevelZoneEmphasis,20.405672073364258,gain
XGBoost,0,650425,original_glcm_Imc1,6.254794597625732,gain
XGBoost,0,650425,original_glszm_SmallAreaHighGrayLevelEmphasis,3.2115163803100586,gain
XGBoost,0,650425,original_firstorder_Minimum,5.520178318023682,gain
XGBoost,0,650425,original_shape_Maximum2DDiameterSlice,9.040492057800293,gain
XGBoost,0,650425,original_gldm_LowGrayLevelEmphasis,2.346456527709961,gain
XGBoost,0,650425,original_gldm_SmallDependenceLowGrayLevelEmphasis,3.5205397605895996,gain
Random Forest,1,654045,original_glcm_MCC,0.1677183287797213,impurity
Random Forest,1,654045,original_glszm_HighGrayLevelZoneEmphasis,0.2051312214725674,impurity
Random Forest,1,654045,original_glszm_LowGrayLevelZoneEmphasis,0.3444533154428111,impurity
Random Forest,1,654045,original_glszm_SmallAreaLowGrayLevelEmphasis,0.2826971343049001,impurity
XGBoost,1,654045,original_glcm_MCC,5.308631896972656,gain
XGBoost,1,654045,original_glszm_HighGrayLevelZoneEmphasis,3.667664051055908,gain
XGBoost,1,654045,original_glszm_LowGrayLevelZoneEmphasis,12.424101829528809,gain
XGBoost,1,654045,original_glszm_SmallAreaLowGrayLevelEmphasis,8.099884986877441,gain
Random Forest,2,645592,original_glcm_MCC,0.19593035093383382,impurity
Random Forest,2,645592,original_glszm_HighGrayLevelZoneEmphasis,0.19830958157210263,impurity
