model,repeat,fold,auc,n_test_meta,n_test_total,n_feat,used_fallback
Logistic Regression,0,0,0.21839080459770113,3,32,6,0
Random Forest,0,0,0.3103448275862069,3,32,6,0
SVM,0,0,0.24137931034482757,3,32,6,0
XGBoost,0,0,0.5172413793103448,3,32,6,0
Logistic Regression,0,1,0.6785714285714286,2,44,10,1
Random Forest,0,1,0.7619047619047619,2,44,10,1
SVM,0,1,0.3333333333333333,2,44,10,1
XGBoost,0,1,0.8690476190476191,2,44,10,1
Logistic Regression,0,2,0.5945945945945945,3,40,10,1
Random Forest,0,2,0.9369369369369369,3,40,10,1
SVM,0,2,0.4954954954954955,3,40,10,1
XGBoost,0,2,0.8828828828828829,3,40,10,1
Logistic Regression,0,3,0.8918918918918919,2,39,10,1
Random Forest,0,3,0.7837837837837838,2,39,10,1
SVM,0,3,0.8783783783783784,2,39,10,1
XGBoost,0,3,0.6351351351351351,2,39,10,1
Logistic Regression,0,4,0.4140625,8,40,10,1
Random Forest,0,4,0.75,8,40,10,1
SVM,0,4,0.421875,8,40,10,1
XGBoost,0,4,0.65625,8,40,10,1
Logistic Regression,1,0,0.85625,4,44,10,1
Random Forest,1,0,0.9125,4,44,10,1
SVM,1,0,0.84375,4,44,10,1
XGBoost,1,0,0.86875,4,44,10,1
Logistic Regression,1,1,0.17777777777777778,5,32,10,1
Random Forest,1,1,0.5185185185185186,5,32,10,1
SVM,1,1,0.2888888888888889,5,32,10,1
XGBoost,1,1,0.5481481481481483,5,32,10,1
Logistic Regression,1,2,0.588235294117647,5,39,10,1
Random Forest,1,2,0.6411764705882353,5,39,10,1
SVM,1,2,0.5647058823529412,5,39,10,1
XGBoost,1,2,0.5529411764705883,5,39,10,1
Logistic Regression,1,3,0.5495495495495495,3,40,5,0
Random Forest,1,3,0.6396396396396397,3,40,5,0
SVM,1,3,0.5585585585585585,3,40,5,0
XGBoost,1,3,0.5315315315315314,3,40,5,0
Logistic Regression,1,4,0.6666666666666667,1,40,10,1
Random Forest,1,4,0.7692307692307692,1,40,10,1
SVM,1,4,0.2564102564102564,1,40,10,1
XGBoost,1,4,0.6153846153846154,1,40,10,1
Logistic Regression,2,0,0.6089743589743589,4,43,10,1
Random Forest,2,0,0.5384615384615385,4,43,10,1
SVM,2,0,0.5448717948717948,4,43,10,1
XGBoost,2,0,0.3653846153846154,4,43,10,1
Logistic Regression,2,1,0.8194444444444444,4,40,10,1
Random Forest,2,1,0.6805555555555556,4,40,10,1
SVM,2,1,0.7986111111111112,4,40,10,1
XGBoost,2,1,0.7222222222222222,4,40,10,1
Logistic Regression,2,2,0.882882882882883,3,40,10,1
Random Forest,2,2,0.9279279279279279,3,40,10,1
SVM,2,2,0.6036036036036037,3,40,10,1
XGBoost,2,2,0.9279279279279279,3,40,10,1
Logistic Regression,2,3,0.6396396396396398,3,40,6,0
Random Forest,2,3,0.4054054054054054,3,40,6,0
SVM,2,3,0.5945945945945945,3,40,6,0
XGBoost,2,3,0.37837837837837834,3,40,6,0
Logistic Regression,2,4,0.2857142857142857,4,32,10,1
Random Forest,2,4,0.5982142857142857,4,32,10,1
SVM,2,4,0.4285714285714286,4,32,10,1
XGBoost,2,4,0.5982142857142857,4,32,10,1
Logistic Regression,3,0,0.0,2,44,10,1
Random Forest,3,0,0.9523809523809523,2,44,10,1
SVM,3,0,0.40476190476190477,2,44,10,1
XGBoost,3,0,0.9761904761904762,2,44,10,1
Logistic Regression,3,1,0.5657894736842106,2,40,3,0
Random Forest,3,1,0.7039473684210527,2,40,3,0
SVM,3,1,0.618421052631579,2,40,3,0
XGBoost,3,1,0.7368421052631579,2,40,3,0
Logistic Regression,3,2,0.6166666666666667,2,32,10,1
Random Forest,3,2,0.55,2,32,10,1
SVM,3,2,0.55,2,32,10,1
XGBoost,3,2,0.7166666666666668,2,32,10,1
Logistic Regression,3,3,0.5657894736842105,2,40,10,1
Random Forest,3,3,0.618421052631579,2,40,10,1
SVM,3,3,0.5394736842105263,2,40,10,1
XGBoost,3,3,0.5921052631578947,2,40,10,1
Logistic Regression,3,4,0.596551724137931,10,39,10,1
Random Forest,3,4,0.49310344827586206,10,39,10,1
SVM,3,4,0.5379310344827586,10,39,10,1
XGBoost,3,4,0.4689655172413793,10,39,10,1
Logistic Regression,4,0,0.7586206896551724,3,32,10,1
Random Forest,4,0,0.9770114942528736,3,32,10,1
SVM,4,0,0.896551724137931,3,32,10,1
XGBoost,4,0,0.9540229885057471,3,32,10,1
Logistic Regression,4,1,0.6747967479674797,3,44,3,0
Random Forest,4,1,0.7886178861788617,3,44,3,0
SVM,4,1,0.7317073170731707,3,44,3,0
XGBoost,4,1,0.6747967479674797,3,44,3,0
Logistic Regression,4,2,0.4955357142857143,7,39,10,1
Random Forest,4,2,0.6696428571428571,7,39,10,1
SVM,4,2,0.6785714285714286,7,39,10,1
XGBoost,4,2,0.5848214285714286,7,39,10,1
Logistic Regression,4,3,0.36936936936936937,3,40,6,0
Random Forest,4,3,0.4864864864864864,3,40,6,0
SVM,4,3,0.4504504504504504,3,40,6,0
XGBoost,4,3,0.3513513513513513,3,40,6,0
Logistic Regression,4,4,0.75,2,40,10,1
Random Forest,4,4,0.7631578947368421,2,40,10,1
SVM,4,4,0.5263157894736843,2,40,10,1
XGBoost,4,4,0.5131578947368421,2,40,10,1
Logistic Regression,5,0,0.4227642276422764,3,44,6,0
Random Forest,5,0,0.4227642276422764,3,44,6,0
SVM,5,0,0.44715447154471544,3,44,6,0
XGBoost,5,0,0.46341463414634143,3,44,6,0
Logistic Regression,5,1,0.47647058823529415,5,39,10,1
Random Forest,5,1,0.7235294117647059,5,39,10,1
SVM,5,1,0.6235294117647059,5,39,10,1
XGBoost,5,1,0.5529411764705883,5,39,10,1
Logistic Regression,5,2,0.6875,4,40,10,1
Random Forest,5,2,0.8125,4,40,10,1
SVM,5,2,0.6111111111111112,4,40,10,1
XGBoost,5,2,0.7708333333333333,4,40,10,1
Logistic Regression,5,4,0.40384615384615385,6,32,10,1
Random Forest,5,4,0.6346153846153846,6,32,10,1
SVM,5,4,0.47435897435897434,6,32,10,1
XGBoost,5,4,0.6025641025641025,6,32,10,1
Logistic Regression,6,0,0.6153846153846154,5,44,10,1
Random Forest,6,0,0.7282051282051283,5,44,10,1
SVM,6,0,0.5487179487179488,5,44,10,1
XGBoost,6,0,0.7410256410256411,5,44,10,1
Logistic Regression,6,1,0.20833333333333331,4,40,10,1
